run_label,mode,id,type,question,gold_answer,pred_answer,pred_answer_raw,em,char_f1,evidence_strict_hit,evidence_any_hit,retrieve_sec,llm_sec,latency_sec,error
,full,64fa9b27b82641eb8ecbe14c,questanswer_1doc,"国家卫生健康委员会于2023年7月28日启动了名为""启明行动""的专项活动，旨在针对特定群体的特定健康问题进行防控。请问这项活动具体针对哪个群体的健康问题？同时，请提供该活动所依据的指导性文件的名称。",“启明行动”是为了防控儿童青少年的近视问题，并发布了《防控儿童青少年近视核心知识十条》。,“启明行动”针对儿童青少年的近视防控健康问题，所依据的指导性文件名称为《防控儿童青少年近视核心知识十条》。,“启明行动”针对儿童青少年的近视防控健康问题，所依据的指导性文件名称为《防控儿童青少年近视核心知识十条》。,0.0000,0.7835,NA,NA,24.1278,2.7158,26.8436,
,full,64fa9b27b82641eb8ecbe14d,questanswer_1doc,最近，陕西省西安市发放大量了体育类电子消费券，供市民使用。这些电子消费券的具体金额是多少？可以在多少家体育场馆使用？,陕西西安市发放了500万元体育类电子消费券，市民可以在全市173家体育场馆使用这些消费券。,满200减80、满120减50、满60减30、满40减20、满20减10和满10减5共六个面额的消费券，可在覆盖范围广的体育场馆使用,满200减80、满120减50、满60减30、满40减20、满20减10和满10减5共六个面额的消费券，可在覆盖范围广的体育场馆使用,0.0000,0.3063,NA,NA,16.0543,1.0145,17.0688,
,full,64fa9b27b82641eb8ecbe156,questanswer_1doc,国家药监局在对哪5个品种的医疗器械进行产品质量监督抽检时，共发现了多少批（台）产品不符合标准规定？,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、立式压力蒸汽灭菌器、电动吸引器和人体血液及血液成分袋式塑料容器（血袋）这5个品种进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、天然胶乳橡胶避孕套、医用外科口罩、鼻内窥镜等5个品种的医疗器械进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,国家药监局在对牙科低压电动马达、贴敷类医疗器械（远红外治疗贴、磁疗贴、穴位磁疗贴）、天然胶乳橡胶避孕套、医用外科口罩、鼻内窥镜等5个品种的医疗器械进行产品质量监督抽检时，共发现了12批（台）产品不符合标准规定。,0.0000,0.7306,NA,NA,12.8544,1.4419,14.2963,
,full,64fa9b27b82641eb8ecbe164,questanswer_1doc,在江苏省中医院副主任中医师徐顺娟提出的大暑养生建议中，她强调了养生的关键在于养护哪两个方面？,徐顺娟强调大暑养生的关键在于养“心阴”和护“脾气”。,大暑养生关键在养“心阴”、护“脾气”,大暑养生关键在养“心阴”、护“脾气”,0.0000,0.7727,NA,NA,13.3931,0.5721,13.9652,
,full,64fa9b27b82641eb8ecbe17a,questanswer_1doc,国务院办公厅转发的《关于恢复和扩大消费措施》通知中提到的优化汽车购买使用管理措施包括哪些具体政策？,优化汽车购买使用管理的具体政策包括：各地区不得新增汽车限购措施，已实施限购的地区优化汽车限购措施；全面取消二手车限迁、便利二手车交易登记；鼓励以旧换新，不得对非本地生产的汽车实施歧视性政策；加大汽车消费金融支持力度；增加城市停车位供给，改善人员密集场所和景区停车条件，推进车位资源共享利用。,优化汽车购买使用管理措施包括各地区不得新增汽车限购措施，已实施限购的地区因地制宜优化汽车限购措施，并扩大新能源汽车消费，落实构建高质量充电基础设施体系、支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等政策,优化汽车购买使用管理措施包括各地区不得新增汽车限购措施，已实施限购的地区因地制宜优化汽车限购措施，并扩大新能源汽车消费，落实构建高质量充电基础设施体系、支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等政策,0.0000,0.5179,NA,NA,12.3769,1.6823,14.0592,
,full,64fa9b27b82641eb8ecbe187,questanswer_1doc,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对多少名晚期子宫内膜癌患者显示出了抗肿瘤响应？,在人体试验中，NP137对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,在最近发表在《自然》杂志上的癌症研究中，名为NP137的治疗性单克隆抗体在人体试验中对9名晚期子宫内膜癌患者显示出了抗肿瘤响应。,0.0000,0.6939,NA,NA,13.6190,0.9352,14.5543,
,full,64fa9b27b82641eb8ecbe190,questanswer_1doc,根据首都医科大学宣武医院皮肤科副主任医师常晓的建议，如果户外活动超过半小时，或者紫外线强烈时，应该采取什么样的防晒措施？,如果户外活动超过半小时，或者紫外线强烈时，建议采用硬防晒叠加涂抹防晒霜的防晒措施。,应采用硬防晒叠加涂抹防晒霜的措施,应采用硬防晒叠加涂抹防晒霜的措施,0.0000,0.5263,NA,NA,13.7570,0.4366,14.1937,
,full,64fa9b27b82641eb8ecbe1e6,questanswer_1doc,根据中南大学湘雅三医院眼科副主任医师曹燕娜的说法，儿童青少年患上干眼症的原因有哪些？,儿童青少年患上干眼症的原因包括长时间用眼、使用电子产品，屈光不正，戴接触镜，结膜过敏等。,儿童青少年患上干眼症的原因包括长时间使用电子屏幕导致眨眼减少、泪液蒸发加快，学习任务繁重、长期佩戴角膜接触镜及睡眠不足破坏泪膜稳定性，挑食偏食导致维生素A缺乏影响角膜健康，以及屈光不正未及时矫正引发视疲劳和眼表慢性炎症，同时过敏性疾病和用眼不当也是重要诱因。,儿童青少年患上干眼症的原因包括长时间使用电子屏幕导致眨眼减少、泪液蒸发加快，学习任务繁重、长期佩戴角膜接触镜及睡眠不足破坏泪膜稳定性，挑食偏食导致维生素A缺乏影响角膜健康，以及屈光不正未及时矫正引发视疲劳和眼表慢性炎症，同时过敏性疾病和用眼不当也是重要诱因。,0.0000,0.4624,NA,NA,12.9275,1.7890,14.7165,
,full,64fa9b27b82641eb8ecbe1f2,questanswer_1doc,根据布鲁诺·比佐泽罗·佩罗尼进行的研究，每天食用多少克坚果可以将抑郁症的风险降低17%？,每天食用30克坚果可以将抑郁症的风险降低17%。,每天食用30克坚果可以将抑郁症的风险降低17%,每天食用30克坚果可以将抑郁症的风险降低17%,0.0000,0.9787,NA,NA,13.0867,0.7028,13.7896,
,full,64fa9b27b82641eb8ecbe20e,questanswer_1doc,国家市场监督管理总局在2023年8月11日发布的召回公告中，林肯、保时捷、宝马三个品牌共计召回了多少辆乘用车？,林肯、保时捷、宝马三个品牌共计召回了83161辆乘用车。,2023年8月11日，国家市场监督管理总局发布的召回公告中，林肯品牌共召回74081辆乘用车（包括林肯大陆11480辆、林肯领航员2556辆、林肯MKC69045辆），保时捷品牌涉及的车型为Macan和Panamera但未提供具体数量，宝马品牌未在该日期的公告中提及，因此仅能确定林肯品牌召回数量，其余品牌信息不足无法确认。,2023年8月11日，国家市场监督管理总局发布的召回公告中，林肯品牌共召回74081辆乘用车（包括林肯大陆11480辆、林肯领航员2556辆、林肯MKC69045辆），保时捷品牌涉及的车型为Macan和Panamera但未提供具体数量，宝马品牌未在该日期的公告中提及，因此仅能确定林肯品牌召回数量，其余品牌信息不足无法确认。,0.0000,0.2526,NA,NA,13.3356,1.5740,14.9096,
,full,64fa9b27b82641eb8ecbe21b,questanswer_1doc,在海南大学南繁种业与生命健康院士论坛上，中国科学院院士杨正林揭示了脂代谢异常代谢机制导致盲目，并提到了哪两种与脂代谢有关的致盲疾病？,杨正林院士揭示了脂代谢异常致盲机制，并特别提到了年龄相关性黄斑变性（AMD）和青光眼这两种与脂代谢有关的致盲疾病。,中国科学院院士杨正林在海南大学南繁种业与生命健康院士论坛上揭示了脂代谢异常代谢机制导致盲目，并提到了白内障和黄斑变性这两种与脂代谢有关的致盲疾病。,中国科学院院士杨正林在海南大学南繁种业与生命健康院士论坛上揭示了脂代谢异常代谢机制导致盲目，并提到了白内障和黄斑变性这两种与脂代谢有关的致盲疾病。,0.0000,0.6462,NA,NA,14.2921,0.8877,15.1798,
,full,64fa9b27b82641eb8ecbe237,questanswer_1doc,根据上海市卫健委发布的公众号文章，甲亢患者在饮食上应该避免哪些类型的食物和药物？,甲亢患者应该避免食用高碘食物，如海带、紫菜、苔条、海蜇等，以及海蟹、贻贝、虾皮等。同时，应使用无碘盐烹饪并减少在外就餐，避免使用含碘药物如胺碘酮、碘酊，以及含海藻成分的化妆品。,甲亢患者应避免高糖高脂肪的糕点巧克力薯片等食物、油炸主食如油条油饼、含盐多的腌制品如豆腐乳酱菜咸菜、烫食（超过65摄氏度）、烟酒类、刺激性饮料如咖啡浓茶、以及蜂王浆雪蛤等含高激素含量的食物和来路不明的保健品，并注意不吃腐败变质或被污水浸泡过的食物、剩饭剩菜、生冷食物及淹死病死的禽畜水产品。,甲亢患者应避免高糖高脂肪的糕点巧克力薯片等食物、油炸主食如油条油饼、含盐多的腌制品如豆腐乳酱菜咸菜、烫食（超过65摄氏度）、烟酒类、刺激性饮料如咖啡浓茶、以及蜂王浆雪蛤等含高激素含量的食物和来路不明的保健品，并注意不吃腐败变质或被污水浸泡过的食物、剩饭剩菜、生冷食物及淹死病死的禽畜水产品。,0.0000,0.3004,NA,NA,13.4722,1.6239,15.0961,
,full,64fa9b27b82641eb8ecbe249,questanswer_1doc,《食用农产品市场销售质量安全监督管理办法》将于哪一年的哪一天起正式实施？,《食用农产品市场销售质量安全监督管理办法》将于2023年12月1日起正式实施。,《食用农产品市场销售质量安全监督管理办法》将于2023年12月1日起正式实施。,《食用农产品市场销售质量安全监督管理办法》将于2023年12月1日起正式实施。,1.0000,1.0000,NA,NA,11.3750,0.5909,11.9660,
